mid ,date ,venue,bat_team,bow_team,batsman,bowler,runs,wickets,overs,runs_last5,wickets_last 5,striker,nonstriker,total
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,gill,Chahal,76,2,8.3,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,Hardik Pandya,Chahal,76,2,8.4,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,Hardik Pandya,Chahal,77,2,8.5,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,gill,Chahal,78,2,8.6,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,gill,Boult,79,2,9.1,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,Hardik Pandya,Boult,80,2,9.2,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,gill,Boult,81,2,9.3,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,Hardik Pandya,Boult,85,2,9.4,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,Hardik Pandya,Boult,86,2,9.5,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,gill,Boult,88,2,9.6,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,Hardik Pandya,Chahal,89,2,10.1,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,gill,Chahal,90,2,10.2,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,Hardik Pandya,Chahal,91,2,10.3,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,Hardik Pandya,Chahal,91,3,10.3,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,David Miller,Chahal,92,3,10.4,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,gill,Chahal,93,3,10.5,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,David Miller,Chahal,94,3,10.6,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,David Miller,Ashwin,95,3,11.1,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,gill,Ashwin,96,3,11.2,,,,,177
